ID,Artists,Name,Weekly.Rank,Peak.Position,Chart.Weeks,BB.Week,Release.Date
2005,"Sam Smith, Normani",Dancing With A Stranger,26,26,4,2019-02-16,"January 11, 2019"
2006,Sheck Wes,Mo Bamba,27,6,24,2019-02-16,"September 15, 2016"
2007,Marshmello,Alone,28,28,11,2019-02-16,"May 13, 2016"
2008,DJ Snake,Taki Taki,29,11,19,2019-02-16,"September 28, 2018"
2009,Ava Max,Sweet But Psycho,30,30,8,2019-02-16,"August 17, 2018"
2010,Dan + Shay,Tequila,31,21,40,2019-02-16,"January 10, 2018"
2011,A Boogie Wit da Hoodie,Look Back At It,32,32,9,2019-02-16,"December 7, 2018"
2012,"Ellie Goulding, Diplo",Close To Me,33,28,12,2019-02-16,"October 24, 2018"
2013,Juice WRLD,Lucid Dreams,34,2,39,2019-02-16,"July 1, 2017"
2014,Ariana Grande,Breathin,35,12,25,2019-02-16,"August 17, 2018"
2015,Luke Combs,Beautiful Crazy,36,36,13,2019-02-16,"May 4, 2018"
2016,Lauren Daigle,You Say,37,34,30,2019-02-16,"July 13, 2018"
2017,Ella Mai,Trip,38,11,27,2019-02-16,"August 3, 2018"
2018,"Cardi B, Bad Bunny, J Balvin",I Like It,39,1,44,2019-02-16,"April 6, 2018"
2019,Pinkfong,Baby Shark,40,32,6,2019-02-16,"June 17, 2016"
2020,"Khalid, Normani",Love Lies,41,9,51,2019-02-16,"February 14, 2018"
2021,Scotty McCreery,This Is It,42,42,9,2019-02-16,"May 7, 2018"
2022,Dean Lewis,Be Alright,43,40,15,2019-02-16,"June 28, 2018"
2023,Dan + Shay,Speechless,44,24,22,2019-02-16,"May 18, 2018"
2024,Calboy,Envy Me,45,41,8,2019-02-16,"September 13, 2018"
2025,A Boogie Wit da Hoodie,Swervin,46,38,7,2019-02-16,"December 21, 2018"
2026,Bazzi,Beautiful,47,26,27,2019-02-16,"August 2, 2018"
2027,Pardison Fontaine,Backin' It Up,48,40,17,2019-02-16,"September 20, 2018"
2028,"Gesaffelstein, The Weeknd",Lost In The Fire,49,27,4,2019-02-16,"January 11, 2019"
2029,City Girls,Twerk,50,29,5,2019-02-16,"November 9, 2018"
2030,Jason Aldean,Girl Like You,51,46,11,2019-02-16,"April 13, 2018"
2031,The Chainsmokers,This Feeling,52,50,17,2019-02-16,"September 18, 2018"
2032,Mark Ronson,Nothing Breaks Like A Heart,53,43,10,2019-02-16,"November 29, 2018"
2033,Chris Brown,Undecided,54,35,5,2019-02-16,"January 4, 2019"
2034,Thomas Rhett,Sixteen,55,42,13,2019-02-16,"September 8, 2017"
2035,Gunna,One Call,56,NA,NA,2019-02-16,"February 1, 2019"
2036,Lil Baby,Pure Cocaine,57,46,9,2019-02-16,"November 30, 2018"
2037,Jordan Davis,Take It From Me,58,58,6,2019-02-16,"October 19, 2017"
2038,Yo Gotti,Put A Date On It,59,59,2,2019-02-16,"January 25, 2019"
2039,Dierks Bentley,Burning Man,60,45,16,2019-02-16,"May 25, 2018"
2040,Billie Eilish,When The Party's Over,61,52,16,2019-02-16,"October 17, 2018"
2041,Luke Bryan,What Makes You Country,63,63,6,2019-02-16,"October 6, 2017"
2042,"Mustard, Migos",Pure Water,64,64,2,2019-02-16,"January 16, 2019"
2043,Lil Wayne,Uproar,65,7,19,2019-02-16,"October 5, 2018"
2044,"Billie Eilish, Khalid",Lovely,66,64,15,2019-02-16,"April 19, 2018"
2045,Kodak Black,Calling My Spirit,67,46,10,2019-02-16,"November 30, 2018"
2046,"Anuel AA, Romeo Santos",Ella Quiere Beber,68,61,14,2019-02-16,"November 1, 2018"
2047,Chris Stapleton,Millionaire,69,67,9,2019-02-16,"October 20, 2017"
2048,Jacquees,You,70,58,11,2019-02-16,"March 30, 2018"
2049,Dustin Lynch,Good Girl,71,44,13,2019-02-16,"May 5, 2018"
2050,Lukas Graham,Love Someone,72,72,6,2019-02-16,"September 7, 2018"
2051,YNW Melly,Murder On My Mind,73,73,3,2019-02-16,"March 4, 2017"
2052,Jake Owen,Down To The Honkytonk,74,74,6,2019-02-16,"August 10, 2018"
2053,"Khalid, Kane Brown",Saturday Nights,75,57,5,2019-02-16,"January 11, 2019"
2054,Kehlani,Nights Like This,76,69,4,2019-02-16,"January 10, 2019"
2055,Travis Scott,Yosemite,77,25,16,2019-02-16,"August 3, 2018"
2056,Zara Larsson,Ruin My Life,78,76,6,2019-02-16,"October 18, 2018"
2057,"XXXTENTACION, Lil Pump",Arms Around You,79,28,15,2019-02-16,"October 23, 2018"
2058,Future,First Off,80,47,3,2019-02-16,"January 18, 2019"
2059,Loud Luxury,Body,81,80,6,2019-02-16,"October 27, 2017"
2060,Ella Mai,Shot Clock,82,82,2,2019-02-16,"October 12, 2018"
2061,"Tory Lanez, Rich The Kid",Talk To Me,83,43,15,2019-02-16,"June 21, 2018"
2062,Carrie Underwood,Love Wins,84,83,6,2019-02-16,"August 31, 2018"
2063,A Boogie Wit da Hoodie,Startender,85,59,7,2019-02-16,"December 14, 2018"
2064,YNW Melly,Mixed Personalities,86,71,3,2019-02-16,"January 18, 2019"
2065,Old Dominion,Make It Sweet,87,87,6,2019-02-16,"October 8, 2018"
2066,"benny blanco, Juice WRLD",Roses,88,85,6,2019-02-16,"December 5, 2018"
2067,Brett Young,Here Tonight,89,88,5,2019-02-16,"September 14, 2018"
2068,Rich The Kid,Splashin,90,90,3,2019-02-16,"December 3, 2018"
2069,Logic,Keanu Reeves,91,38,3,2019-02-16,"January 18, 2019"
2070,French Montana,No Stylist,92,47,20,2019-02-16,"September 20, 2018"
2071,Midland,Burn Out,93,92,5,2019-02-16,"October 28, 2016"
2072,Alec Benjamin,Let Me Down Slowly,94,79,3,2019-02-16,"January 7, 2019"
2073,Kelsea Ballerini,Miss Me More,95,NA,NA,2019-02-16,"October 20, 2017"
2074,Billie Eilish,Ocean Eyes,96,96,6,2019-02-16,"November 19, 2015"
2075,Future,Crushed Up,97,43,5,2019-02-16,"January 4, 2019"
2076,Jon Pardi,Night Shift,98,98,2,2019-02-16,"June 17, 2016"
2077,Lil Baby,Close Friends,99,28,15,2019-02-16,"October 5, 2018"
2078,Cody Johnson,On My Way To You,100,91,2,2019-02-16,"August 10, 2018"
2079,Ariana Grande,7 Rings,1,1,2,2019-02-09,"January 18, 2019"
2080,Halsey,Without Me,2,1,17,2019-02-09,"October 4, 2018"
2081,"Post Malone, Swae Lee",Sunflower,3,1,15,2019-02-09,"October 18, 2018"
2082,J. Cole,Middle Child,4,4,2,2019-02-09,"January 23, 2019"
2083,Travis Scott,Sicko Mode,5,1,26,2019-02-09,"August 3, 2018"
2084,Ariana Grande,"Thank U, Next",6,1,13,2019-02-09,"November 3, 2018"
2085,Panic! At The Disco,High Hopes,7,4,26,2019-02-09,"May 23, 2018"
2086,"Marshmello, Bastille",Happier,8,3,24,2019-02-09,"August 17, 2018"
2087,Post Malone,Wow.,9,8,6,2019-02-09,"December 24, 2018"
2088,Maroon 5,Girls Like You,10,1,36,2019-02-09,"May 30, 2018"
2089,"benny blanco, Halsey, Khalid",Eastside,11,9,29,2019-02-09,"July 12, 2018"
2090,"Lil Baby, Gunna",Drip Too Hard,12,4,20,2019-02-09,"September 9, 2018"
2091,Cardi B,Money,13,13,15,2019-02-09,"October 23, 2018"
2092,Kodak Black,ZEZE,14,2,16,2019-02-09,"October 12, 2018"
2093,Meek Mill,Going Bad,15,6,9,2019-02-09,"November 30, 2018"
2094,"Lady Gaga, Bradley Cooper",Shallow,16,5,18,2019-02-09,"September 27, 2018"
2095,"Gucci Mane, Bruno Mars, Kodak Black",Wake Up In The Sky,17,11,20,2019-02-09,"September 14, 2018"
2096,Sheck Wes,Mo Bamba,18,6,23,2019-02-09,"September 15, 2016"
2097,Post Malone,Better Now,19,3,40,2019-02-09,"April 27, 2018"
2098,Flipp Dinero,Leave Me Alone,20,20,20,2019-02-09,"March 14, 2018"
2099,5 Seconds Of Summer,Youngblood,21,7,35,2019-02-09,"April 12, 2018"
2100,Bad Bunny,MIA,22,5,16,2019-02-09,"October 11, 2018"
2101,Khalid,Better,23,22,20,2019-02-09,"September 14, 2018"
2102,DJ Snake,Taki Taki,24,11,18,2019-02-09,"September 28, 2018"
2103,Ariana Grande,Breathin,25,12,24,2019-02-09,"August 17, 2018"
2104,21 Savage,A Lot,26,26,6,2019-02-09,"December 21, 2018"
2105,Juice WRLD,Lucid Dreams,27,2,38,2019-02-09,"July 1, 2017"
2106,Blueface,Thotiana,28,28,3,2019-02-09,"February 16, 2019"
2107,Dan + Shay,Tequila,29,21,39,2019-02-09,"January 10, 2018"
2108,"Ellie Goulding, Diplo",Close To Me,30,28,11,2019-02-09,"October 24, 2018"
2109,"Sam Smith, Normani",Dancing With A Stranger,31,31,3,2019-02-09,"January 11, 2019"
2110,Ava Max,Sweet But Psycho,32,32,7,2019-02-09,"August 17, 2018"
2111,Bazzi,Beautiful,33,26,26,2019-02-09,"August 2, 2018"
2112,Dan + Shay,Speechless,34,24,21,2019-02-09,"May 18, 2018"
2113,Ella Mai,Trip,35,11,26,2019-02-09,"August 3, 2018"
2114,Pinkfong,Baby Shark,36,32,5,2019-02-09,"June 17, 2016"
2115,"Khalid, Normani",Love Lies,37,9,50,2019-02-09,"February 14, 2018"
2116,Luke Combs,Beautiful Crazy,38,38,12,2019-02-09,"May 4, 2018"
2117,Lauren Daigle,You Say,39,34,29,2019-02-09,"July 13, 2018"
2118,A Boogie Wit da Hoodie,Look Back At It,40,40,8,2019-02-09,"December 7, 2018"
2119,"Cardi B, Bad Bunny, J Balvin",I Like It,41,1,43,2019-02-09,"April 6, 2018"
2120,"Gesaffelstein, The Weeknd",Lost In The Fire,42,27,3,2019-02-09,"January 11, 2019"
2121,Calboy,Envy Me,43,41,7,2019-02-09,"September 13, 2018"
2122,Dean Lewis,Be Alright,44,40,14,2019-02-09,"June 28, 2018"
2123,A Boogie Wit da Hoodie,Swervin,45,38,6,2019-02-09,"December 21, 2018"
2124,City Girls,Twerk,46,29,4,2019-02-09,"November 9, 2018"
2125,Pardison Fontaine,Backin' It Up,47,40,16,2019-02-09,"September 20, 2018"
2126,Jason Aldean,Girl Like You,48,46,10,2019-02-09,"April 13, 2018"
2127,Scotty McCreery,This Is It,49,49,8,2019-02-09,"May 7, 2018"
2128,Thomas Rhett,Sixteen,50,42,12,2019-02-09,"September 8, 2017"
2129,Mark Ronson,Nothing Breaks Like A Heart,51,43,9,2019-02-09,"November 29, 2018"
2130,The Chainsmokers,This Feeling,52,50,16,2019-02-09,"September 18, 2018"
2131,Dierks Bentley,Burning Man,53,45,15,2019-02-09,"May 25, 2018"
2132,Chris Brown,Undecided,54,35,4,2019-02-09,"January 4, 2019"
2133,Jimmie Allen,Best Shot,55,37,20,2019-02-09,"October 12, 2018"
2134,Lil Baby,Pure Cocaine,56,46,8,2019-02-09,"November 30, 2018"
2135,Future,First Off,57,47,2,2019-02-09,"January 18, 2019"
2136,Lil Wayne,Uproar,58,7,18,2019-02-09,"October 5, 2018"
2137,Dustin Lynch,Good Girl,59,44,12,2019-02-09,"May 5, 2018"
2138,"Khalid, Kane Brown",Saturday Nights,61,57,4,2019-02-09,"January 11, 2019"
2139,Logic,Keanu Reeves,62,38,2,2019-02-09,"January 18, 2019"
2140,Jacquees,You,63,58,10,2019-02-09,"March 30, 2018"
2141,Kodak Black,Calling My Spirit,64,46,9,2019-02-09,"November 30, 2018"
2142,Yo Gotti,Put A Date On It,65,NA,NA,2019-02-09,"January 25, 2019"
2143,French Montana,No Stylist,66,47,19,2019-02-09,"September 20, 2018"
2144,"Anuel AA, Romeo Santos",Ella Quiere Beber,67,61,13,2019-02-09,"November 1, 2018"
2145,Jordan Davis,Take It From Me,68,68,5,2019-02-09,"October 19, 2017"
2146,Luke Bryan,What Makes You Country,69,69,5,2019-02-09,"October 6, 2017"
2147,Chris Stapleton,Millionaire,70,67,8,2019-02-09,"October 20, 2017"
2148,Future,Crushed Up,71,43,4,2019-02-09,"January 4, 2019"
2149,"XXXTENTACION, Lil Pump",Arms Around You,72,28,14,2019-02-09,"October 23, 2018"
2150,YNW Melly,Mixed Personalities,73,71,2,2019-02-09,"January 18, 2019"
2151,Billie Eilish,Bury A Friend,74,NA,NA,2019-02-09,"January 30, 2019"
2152,Travis Scott,Yosemite,75,25,15,2019-02-09,"August 3, 2018"
2153,Billie Eilish,When The Party's Over,76,52,15,2019-02-09,"October 17, 2018"
2154,"Anuel AA, Karol G",Secreto,77,68,2,2019-02-09,"January 15, 2019"
2155,YNW Melly,Murder On My Mind,78,78,2,2019-02-09,"March 4, 2017"
2156,Zara Larsson,Ruin My Life,79,76,5,2019-02-09,"October 18, 2018"
2157,Lukas Graham,Love Someone,80,80,5,2019-02-09,"September 7, 2018"
2158,"Billie Eilish, Khalid",Lovely,81,64,14,2019-02-09,"April 19, 2018"
2159,Jake Owen,Down To The Honkytonk,82,75,5,2019-02-09,"August 10, 2018"
2160,Kehlani,Nights Like This,83,69,3,2019-02-09,"January 10, 2019"
2161,A Boogie Wit da Hoodie,Startender,84,59,6,2019-02-09,"December 14, 2018"
2162,"benny blanco, Juice WRLD",Roses,85,85,5,2019-02-09,"December 5, 2018"
2163,"Lauv, Troye Sivan",I'm So Tired...,86,NA,NA,2019-02-09,"January 24, 2019"
2164,Loud Luxury,Body,87,80,5,2019-02-09,"October 27, 2017"
2165,Ella Mai,Shot Clock,88,NA,NA,2019-02-09,"October 12, 2018"
2166,XXXTENTACION,Sauce!,89,NA,NA,2019-02-09,"January 23, 2019"
2167,"Daddy Yankee, Katy Perry",Con Calma,90,NA,NA,2019-02-09,"April 19, 2019"
2168,Carrie Underwood,Love Wins,91,83,5,2019-02-09,"August 31, 2018"
2169,Rich The Kid,Splashin,92,92,2,2019-02-09,"December 3, 2018"
2170,Old Dominion,Make It Sweet,93,92,5,2019-02-09,"October 8, 2018"
2171,"Tory Lanez, Rich The Kid",Talk To Me,94,43,14,2019-02-09,"June 21, 2018"
2172,Midland,Burn Out,95,92,4,2019-02-09,"October 28, 2016"
2173,Brett Young,Here Tonight,96,88,4,2019-02-09,"September 14, 2018"
2174,XXXTENTACION,BAD!,97,16,11,2019-02-09,"November 9, 2018"
2175,Jon Pardi,Night Shift,98,NA,NA,2019-02-09,"June 17, 2016"
2176,Russell Dickerson,Blue Tacoma,99,52,19,2019-02-09,"March 5, 2018"
2177,Alec Benjamin,Let Me Down Slowly,100,79,2,2019-02-09,"January 7, 2019"
2178,Ariana Grande,7 Rings,1,1,1,2019-02-02,"January 18, 2019"
2179,Halsey,Without Me,2,1,16,2019-02-02,"October 4, 2018"
2180,"Post Malone, Swae Lee",Sunflower,3,1,14,2019-02-02,"October 18, 2018"
2181,Ariana Grande,"Thank U, Next",4,1,12,2019-02-02,"November 3, 2018"
2182,Travis Scott,Sicko Mode,5,1,25,2019-02-02,"August 3, 2018"
2183,Panic! At The Disco,High Hopes,6,4,25,2019-02-02,"May 23, 2018"
2184,"Marshmello, Bastille",Happier,7,3,23,2019-02-02,"August 17, 2018"
2185,Post Malone,Wow.,8,8,5,2019-02-02,"December 24, 2018"
2186,Maroon 5,Girls Like You,9,1,35,2019-02-02,"May 30, 2018"
2187,"Lil Baby, Gunna",Drip Too Hard,10,4,19,2019-02-02,"September 9, 2018"
2188,"benny blanco, Halsey, Khalid",Eastside,11,9,28,2019-02-02,"July 12, 2018"
2189,Kodak Black,ZEZE,12,2,15,2019-02-02,"October 12, 2018"
2190,Cardi B,Money,13,13,14,2019-02-02,"October 23, 2018"
2191,Meek Mill,Going Bad,14,6,8,2019-02-02,"November 30, 2018"
2192,"Gucci Mane, Bruno Mars, Kodak Black",Wake Up In The Sky,15,11,19,2019-02-02,"September 14, 2018"
2193,Sheck Wes,Mo Bamba,16,6,22,2019-02-02,"September 15, 2016"
2194,5 Seconds Of Summer,Youngblood,17,7,34,2019-02-02,"April 12, 2018"
2195,DJ Snake,Taki Taki,18,11,17,2019-02-02,"September 28, 2018"
2196,Bad Bunny,MIA,19,5,15,2019-02-02,"October 11, 2018"
2197,Post Malone,Better Now,20,3,39,2019-02-02,"April 27, 2018"
2198,Flipp Dinero,Leave Me Alone,21,21,19,2019-02-02,"March 14, 2018"
2199,Ariana Grande,Breathin,22,12,23,2019-02-02,"August 17, 2018"
2200,Khalid,Better,23,22,19,2019-02-02,"September 14, 2018"
2201,"Lady Gaga, Bradley Cooper",Shallow,24,5,17,2019-02-02,"September 27, 2018"
2202,Juice WRLD,Lucid Dreams,25,2,37,2019-02-02,"July 1, 2017"
2203,J. Cole,Middle Child,26,NA,NA,2019-02-02,"January 23, 2019"
2204,Bazzi,Beautiful,27,26,25,2019-02-02,"August 2, 2018"
2205,"Ellie Goulding, Diplo",Close To Me,28,28,10,2019-02-02,"October 24, 2018"
2206,City Girls,Twerk,29,29,3,2019-02-02,"November 9, 2018"
2207,Ella Mai,Trip,30,11,25,2019-02-02,"August 3, 2018"
2208,Dan + Shay,Speechless,31,24,20,2019-02-02,"May 18, 2018"
2209,"Khalid, Normani",Love Lies,32,9,49,2019-02-02,"February 14, 2018"
2210,"Gesaffelstein, The Weeknd",Lost In The Fire,33,27,2,2019-02-02,"January 11, 2019"
2211,21 Savage,A Lot,34,33,5,2019-02-02,"December 21, 2018"
2212,Ava Max,Sweet But Psycho,35,35,6,2019-02-02,"August 17, 2018"
2213,Pinkfong,Baby Shark,36,32,4,2019-02-02,"June 17, 2016"
2214,"Cardi B, Bad Bunny, J Balvin",I Like It,37,1,42,2019-02-02,"April 6, 2018"
2215,Logic,Keanu Reeves,38,NA,NA,2019-02-02,"January 18, 2019"
2216,Lauren Daigle,You Say,39,34,28,2019-02-02,"July 13, 2018"
2217,Pardison Fontaine,Backin' It Up,40,40,15,2019-02-02,"September 20, 2018"
2218,"Sam Smith, Normani",Dancing With A Stranger,41,33,2,2019-02-02,"January 11, 2019"
2219,Luke Combs,Beautiful Crazy,42,41,11,2019-02-02,"May 4, 2018"
2220,Future,Crushed Up,43,43,3,2019-02-02,"January 4, 2019"
2221,A Boogie Wit da Hoodie,Look Back At It,44,40,7,2019-02-02,"December 7, 2018"
2222,Calboy,Envy Me,45,41,6,2019-02-02,"September 13, 2018"
2223,A Boogie Wit da Hoodie,Swervin,46,38,5,2019-02-02,"December 21, 2018"
2224,Future,First Off,47,NA,NA,2019-02-02,"January 18, 2019"
2225,Dierks Bentley,Burning Man,48,45,14,2019-02-02,"May 25, 2018"
2226,Thomas Rhett,Sixteen,49,42,11,2019-02-02,"September 8, 2017"
2227,Imagine Dragons,Natural,50,13,27,2019-02-02,"July 17, 2018"
2228,Jason Aldean,Girl Like You,51,46,9,2019-02-02,"April 13, 2018"
2229,Dean Lewis,Be Alright,52,40,13,2019-02-02,"June 28, 2018"
2230,Scotty McCreery,This Is It,53,52,7,2019-02-02,"May 7, 2018"
2231,Mark Ronson,Nothing Breaks Like A Heart,54,43,8,2019-02-02,"November 29, 2018"
2232,Chris Brown,Undecided,55,35,3,2019-02-02,"January 4, 2019"
2233,The Chainsmokers,This Feeling,56,50,15,2019-02-02,"September 18, 2018"
2234,Future,Jumpin On A Jet,57,57,2,2019-02-02,"January 9, 2019"
2235,Dustin Lynch,Good Girl,58,44,11,2019-02-02,"May 5, 2018"
2236,Lil Wayne,Uproar,59,7,17,2019-02-02,"October 5, 2018"
2237,Jimmie Allen,Best Shot,60,37,19,2019-02-02,"October 12, 2018"
2238,"Anuel AA, Romeo Santos",Ella Quiere Beber,61,61,12,2019-02-02,"November 1, 2018"
2239,Kodak Black,Calling My Spirit,62,46,8,2019-02-02,"November 30, 2018"
2240,"XXXTENTACION, Lil Pump",Arms Around You,64,28,13,2019-02-02,"October 23, 2018"
2241,Future,Never Stop,65,NA,NA,2019-02-02,"January 18, 2019"
2242,Blueface,Thotiana,66,66,2,2019-02-02,"February 16, 2019"
2243,Jacquees,You,67,58,9,2019-02-02,"March 30, 2018"
2244,"Anuel AA, Karol G",Secreto,68,NA,NA,2019-02-02,"January 15, 2019"
2245,French Montana,No Stylist,69,47,18,2019-02-02,"September 20, 2018"
2246,Luke Bryan,What Makes You Country,70,70,4,2019-02-02,"October 6, 2017"
2247,YNW Melly,Mixed Personalities,71,NA,NA,2019-02-02,"January 18, 2019"
2248,Camila Cabello,Consequences,72,51,12,2019-02-02,"January 12, 2018"
2249,Chris Stapleton,Millionaire,73,67,7,2019-02-02,"October 20, 2017"
2250,Travis Scott,Yosemite,74,25,14,2019-02-02,"August 3, 2018"
2251,"Khalid, Kane Brown",Saturday Nights,75,57,3,2019-02-02,"January 11, 2019"
2252,Future,Temptation,76,NA,NA,2019-02-02,"January 18, 2019"
2253,Zara Larsson,Ruin My Life,77,76,4,2019-02-02,"October 18, 2018"
2254,Jordan Davis,Take It From Me,78,69,4,2019-02-02,"October 19, 2017"
2255,Future,Rocket Ship,79,NA,NA,2019-02-02,"January 18, 2019"
2256,A Boogie Wit da Hoodie,Startender,80,59,5,2019-02-02,"December 14, 2018"
2257,"Mustard, Migos",Pure Water,81,NA,NA,2019-02-02,"January 16, 2019"
2258,"Billie Eilish, Khalid",Lovely,82,64,13,2019-02-02,"April 19, 2018"
2259,Jake Owen,Down To The Honkytonk,84,75,4,2019-02-02,"August 10, 2018"
2260,Loud Luxury,Body,85,80,4,2019-02-02,"October 27, 2017"
2261,Lukas Graham,Love Someone,86,81,4,2019-02-02,"September 7, 2018"
2262,Billie Eilish,When The Party's Over,87,52,14,2019-02-02,"October 17, 2018"
2263,Kehlani,Nights Like This,88,69,2,2019-02-02,"January 10, 2019"
2264,Lil Baby,Pure Cocaine,89,46,7,2019-02-02,"November 30, 2018"
2265,"Silk City, Dua Lipa",Electricity,90,62,10,2019-02-02,"September 7, 2018"
2266,Cody Johnson,On My Way To You,91,NA,NA,2019-02-02,"August 10, 2018"
2267,Old Dominion,Make It Sweet,92,92,4,2019-02-02,"October 8, 2018"
2268,Carrie Underwood,Love Wins,93,83,4,2019-02-02,"August 31, 2018"
2269,"Tory Lanez, Rich The Kid",Talk To Me,94,43,13,2019-02-02,"June 21, 2018"
2270,YNW Melly,Murder On My Mind,95,NA,NA,2019-02-02,"March 4, 2017"
2271,Maren Morris,GIRL,96,NA,NA,2019-02-02,"January 17, 2019"
2272,"benny blanco, Juice WRLD",Roses,97,87,4,2019-02-02,"December 5, 2018"
2273,"Hikaru Utada, Skrillex",Face My Fears,98,NA,NA,2019-02-02,"January 18, 2019"
2274,Ariana Grande,Imagine,99,24,5,2019-02-02,"December 14, 2018"
2275,Future,Call The Coroner,100,NA,NA,2019-02-02,"January 18, 2019"
2276,Halsey,Without Me,1,1,5,2019-01-26,"October 4, 2018"
2277,"Post Malone, Swae Lee",Sunflower,2,1,13,2019-01-26,"October 18, 2018"
2278,Travis Scott,Sicko Mode,3,1,24,2019-01-26,"August 3, 2018"
2279,Panic! At The Disco,High Hopes,4,4,24,2019-01-26,"May 23, 2018"
2280,Ariana Grande,"Thank U, Next",5,1,11,2019-01-26,"November 3, 2018"
2281,"Marshmello, Bastille",Happier,6,3,22,2019-01-26,"August 17, 2018"
2282,Maroon 5,Girls Like You,7,1,34,2019-01-26,"May 30, 2018"
2283,"Lil Baby, Gunna",Drip Too Hard,8,4,18,2019-01-26,"September 9, 2018"
2284,Post Malone,Wow.,9,9,4,2019-01-26,"December 24, 2018"
2285,Kodak Black,ZEZE,10,2,14,2019-01-26,"October 12, 2018"
2286,"benny blanco, Halsey, Khalid",Eastside,11,9,27,2019-01-26,"July 12, 2018"
2287,"Gucci Mane, Bruno Mars, Kodak Black",Wake Up In The Sky,12,11,18,2019-01-26,"September 14, 2018"
2288,Cardi B,Money,13,13,13,2019-01-26,"October 23, 2018"
2289,Sheck Wes,Mo Bamba,14,6,21,2019-01-26,"September 15, 2016"
2290,Post Malone,Better Now,15,3,38,2019-01-26,"April 27, 2018"
2291,5 Seconds Of Summer,Youngblood,16,7,33,2019-01-26,"April 12, 2018"
2292,Meek Mill,Going Bad,17,6,7,2019-01-26,"November 30, 2018"
2293,Ariana Grande,Breathin,18,12,22,2019-01-26,"August 17, 2018"
2294,DJ Snake,Taki Taki,19,11,16,2019-01-26,"September 28, 2018"
2295,Bad Bunny,MIA,20,5,14,2019-01-26,"October 11, 2018"
2296,Flipp Dinero,Leave Me Alone,21,21,18,2019-01-26,"March 14, 2018"
2297,Khalid,Better,22,22,18,2019-01-26,"September 14, 2018"
2298,Juice WRLD,Lucid Dreams,23,2,36,2019-01-26,"July 1, 2017"
2299,"Lady Gaga, Bradley Cooper",Shallow,24,5,16,2019-01-26,"September 27, 2018"
2300,Dan + Shay,Speechless,25,24,19,2019-01-26,"May 18, 2018"
2301,Bazzi,Beautiful,26,26,24,2019-01-26,"August 2, 2018"
2302,"Gesaffelstein, The Weeknd",Lost In The Fire,27,NA,NA,2019-01-26,"January 11, 2019"
2303,"Khalid, Normani",Love Lies,28,9,48,2019-01-26,"February 14, 2018"
2304,Ella Mai,Trip,29,11,24,2019-01-26,"August 3, 2018"
2305,"Cardi B, Bad Bunny, J Balvin",I Like It,30,1,41,2019-01-26,"April 6, 2018"
2306,Imagine Dragons,Natural,31,13,26,2019-01-26,"July 17, 2018"
2307,"Ellie Goulding, Diplo",Close To Me,32,31,9,2019-01-26,"October 24, 2018"
2308,"Sam Smith, Normani",Dancing With A Stranger,33,NA,NA,2019-01-26,"January 11, 2019"
2309,21 Savage,A Lot,34,33,4,2019-01-26,"December 21, 2018"
2310,Lauren Daigle,You Say,35,34,27,2019-01-26,"July 13, 2018"
2311,Ava Max,Sweet But Psycho,36,36,5,2019-01-26,"August 17, 2018"
2312,Pinkfong,Baby Shark,37,32,3,2019-01-26,"June 17, 2016"
2313,Luke Combs,She Got The Best Of Me,38,31,23,2019-01-26,"July 1, 2014"
2314,A Boogie Wit da Hoodie,Swervin,39,38,4,2019-01-26,"December 21, 2018"
2315,A Boogie Wit da Hoodie,Look Back At It,40,40,6,2019-01-26,"December 7, 2018"
2316,Calboy,Envy Me,41,41,5,2019-01-26,"September 13, 2018"
2317,Luke Combs,Beautiful Crazy,42,41,10,2019-01-26,"May 4, 2018"
2318,Thomas Rhett,Sixteen,43,42,10,2019-01-26,"September 8, 2017"
2319,Dean Lewis,Be Alright,44,40,12,2019-01-26,"June 28, 2018"
2320,Pardison Fontaine,Backin' It Up,45,44,14,2019-01-26,"September 20, 2018"
2321,Jason Aldean,Girl Like You,46,46,8,2019-01-26,"April 13, 2018"
2322,Dierks Bentley,Burning Man,47,45,13,2019-01-26,"May 25, 2018"
2323,Jimmie Allen,Best Shot,48,37,18,2019-01-26,"October 12, 2018"
2324,Lil Wayne,Uproar,49,7,16,2019-01-26,"October 5, 2018"
2325,Mark Ronson,Nothing Breaks Like A Heart,50,43,7,2019-01-26,"November 29, 2018"
2326,The Chainsmokers,This Feeling,51,50,14,2019-01-26,"September 18, 2018"
2327,Scotty McCreery,This Is It,52,52,6,2019-01-26,"May 7, 2018"
2328,Dustin Lynch,Good Girl,53,44,10,2019-01-26,"May 5, 2018"
2329,City Girls,Twerk,54,54,2,2019-01-26,"November 9, 2018"
2330,Kodak Black,Calling My Spirit,55,46,7,2019-01-26,"November 30, 2018"
2331,Chris Brown,Undecided,56,35,2,2019-01-26,"January 4, 2019"
2332,"Khalid, Kane Brown",Saturday Nights,57,57,2,2019-01-26,"January 11, 2019"
2333,Future,Crushed Up,59,46,2,2019-01-26,"January 4, 2019"
2334,Camila Cabello,Consequences,60,51,11,2019-01-26,"January 12, 2018"
2335,Jacquees,You,61,58,8,2019-01-26,"March 30, 2018"
2336,"XXXTENTACION, Lil Pump",Arms Around You,62,28,12,2019-01-26,"October 23, 2018"
2337,French Montana,No Stylist,63,47,17,2019-01-26,"September 20, 2018"
